rms,distance,atom_a,atom_b
0.0244259061011115,5.396046880424969,5,36
0.8296582171650062,3.081556182188158,5,37
0.059736637372322786,6.981307568608171,5,38
0.059736637372322786,6.98130756860823,5,39
0.8296582171650062,3.081556182188202,5,40
0.8296582171650061,3.081556182188202,5,41
0.02442590610111139,5.396046880424969,5,42
0.0069779435346577125,9.37983593838558,5,43
0.02442590610111139,5.396046880425019,5,44
0.059736637372322904,6.98130756860823,5,45
0.059736637372322904,6.981307568608211,5,46
0.006977943534657752,9.379835938385595,5,47
0.006977943534657752,9.37983593838558,5,48
0.11656482316962409,7.07446014616612,5,49
0.019248025963597537,9.449373165624088,5,50
0.019248025963597537,9.44937316562411,5,51
0.11656482316962409,7.07446014616613,5,52
0.15533148789184717,3.287144580965208,5,53
0.03417495339290625,5.516035979571814,5,54
0.01924802596359755,9.449373165624088,5,55
0.03417495339290625,5.516035979571838,5,56
0.15533148789184714,3.287144580965229,5,57
0.15533148789184711,3.287144580965208,5,58
0.1165648231696239,7.07446014616612,5,59
0.1165648231696239,7.074460146166149,5,60
0.11656482316962406,7.074460146166149,5,61
0.03417495339290637,5.5160359795718374,5,62
0.11656482316962406,7.074460146166129,5,63
0.03526103144545496,10.436090582923221,5,64
0.046686235128299704,7.337424650224688,5,65
0.008045067189874246,9.647821897259965,5,66
0.008045067189874246,9.647821897259965,5,67
0.046686235128299704,7.337424650224688,5,68
0.022523708854067678,5.849484341885438,5,69
0.04668623512829958,7.337424650224688,5,70
0.020964590792195783,10.616110436172507,5,71
0.04668623512829958,7.337424650224688,5,72
0.046686235128299745,7.337424650224689,5,73
0.046686235128299745,7.337424650224689,5,74
0.14384828252428492,9.647821897259965,5,75
0.14384828252428492,9.647821897259965,5,76
0.020964590792195793,10.616110436172507,5,77
0.008045067189873996,9.647821897259963,5,78
0.020964590792195793,10.616110436172507,5,79
0.1438482825242848,9.647821897259965,5,80
0.393271712582977,4.429597434503725,6,1
0.393271712582977,4.429597434503725,6,2
0.03409733288189999,7.672287813637203,6,3
0.03409733288189999,7.672287813637204,6,4
0.393271712582977,4.429597434503725,6,5
2.4083955725465436,0.0,6,6
0.393271712582977,4.429597434503725,6,7
0.0689860062667635,8.85919486900745,6,8
0.034097371609212786,7.672287813637204,6,9
0.3932717125829768,4.429597434503725,6,10
0.3932717125829769,4.429597434503725,6,11
0.034097371609212786,7.672287813637205,6,12
0.03409737160921305,7.672287813637205,6,13
0.06898600626676371,8.859194869007448,6,14
0.03409733288190012,7.672287813637203,6,15
0.06898600626676371,8.859194869007448,6,16
0.29967729129852244,6.574289161930418,6,17
0.031362747931658566,7.927333184396722,6,18
0.01795188026516935,11.032071959143629,6,19
0.031362747931658566,7.927333184396756,6,20
0.2180597577799201,4.857977413792085,6,21
0.2180597577799201,4.857977413792058,6,22
0.03136274793165842,7.927333184396721,6,23
0.03136274793165842,7.9273331843967725,6,24
0.29967729129852233,6.574289161930459,6,25
0.21805975777991995,4.857977413792086,6,26
0.2996772912985225,6.574289161930418,6,27
0.12833427487294116,10.103725960256515,6,28
0.12833427487294122,10.103725960256513,6,29
0.031362747931658504,7.9273331843967725,6,30
0.031362747931658504,7.9273331843967565,6,31
0.12833427487294122,10.103725960256527,6,32
0.0244259061011115,5.396046880424969,6,33
0.05973663737232274,6.981307568608172,6,34
0.016792921703121286,10.37316999102933,6,35
0.059736637372322696,6.981307568608211,6,36
0.8296582171650062,3.0815561821882014,6,37
0.8296582171650062,3.081556182188158,6,38
0.059736637372322786,6.981307568608171,6,39
0.059736637372322786,6.98130756860823,6,40
0.02442590610111139,5.396046880425018,6,41
0.8296582171650061,3.081556182188202,6,42
0.02442590610111139,5.396046880424969,6,43
0.0069779435346577125,9.37983593838558,6,44
0.006977943534657752,9.37983593838558,6,45
0.059736637372322904,6.98130756860823,6,46
0.059736637372322904,6.981307568608211,6,47
0.006977943534657752,9.379835938385595,6,48
0.11656482316962409,7.07446014616613,6,49
